,Pokemon Id,Pokedex Number,Name,Classification,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details,#,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
10,23,11,Metapod,"""Cocoon Pokemon""",0.7,9.9,"""Bug""",,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",,,,,50.0,50.0,70,"""Red""","""Kanto""",50,20,55,25,25,30,205,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,72,"""Bug""",,15,32.0,"""Level 7""",11,Bug,,205,50,20,55,25,25,30,1,False
11,24,12,Butterfree,"""Butterfly Pokemon""",1.1,32.0,"""Bug""","""Flying""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",,,"""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""",50.0,50.0,70,"""Red""","""Kanto""",60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,"""Medium Fast""",1000000,178,"""Bug""",,15,23.0,"""Level 10""",12,Bug,Flying,395,60,45,50,90,80,70,1,False
12,31,13,Weedle,"""Hairy Bug Pokemon""",0.3,3.2,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",,,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50.0,50.0,70,"""Red""","""Kanto""",40,35,30,20,20,50,195,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,39,"""Bug""",,15,,,13,Bug,Poison,195,40,35,30,20,20,50,1,False
13,30,14,Kakuna,"""Cocoon Pokemon""",0.6,10.0,"""Bug""","""Poison""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",,,,,50.0,50.0,70,"""Red""","""Kanto""",45,25,50,25,25,35,205,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,72,"""Bug""",,15,31.0,"""Level 7""",14,Bug,Poison,205,45,25,50,25,25,35,1,False
14,27,15,Beedrill,"""Poison Bee Pokemon""",1.0,29.5,"""Bug""","""Poison""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",,,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",50.0,50.0,70,"""Red""","""Kanto""",65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,"""Medium Fast""",1000000,178,"""Bug""",,15,30.0,"""Level 10""",15,Bug,Poison,395,65,90,40,45,80,75,1,False
15,76,16,Pidgey,"""Tiny Bird Pokemon""",0.3,1.8,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Tangled Feet""","""Raises evasiveness if the Pokémon is confused.""","""Big Pecks""","""Protects the Pokémon from Defense-lowering effects.""",50.0,50.0,70,"""Red""","""Kanto""",40,45,40,35,35,56,251,0,0,0,0,0,1,1,255,"""Medium Slow""",1059860,50,"""Flying""",,15,,,16,Normal,Flying,251,40,45,40,35,35,56,1,False
16,77,17,Pidgeotto,"""Bird Pokemon""",1.1,30.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Tangled Feet""","""Raises evasiveness if the Pokémon is confused.""","""Big Pecks""","""Protects the Pokémon from Defense-lowering effects.""",50.0,50.0,70,"""Red""","""Kanto""",63,60,55,50,50,71,349,0,0,0,0,0,2,2,120,"""Medium Slow""",1059860,122,"""Flying""",,15,76.0,"""Level 18""",17,Normal,Flying,349,63,60,55,50,50,71,1,False
17,78,18,Pidgeot,"""Bird Pokemon""",1.5,39.5,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""","""Tangled Feet""","""Raises evasiveness if the Pokémon is confused.""","""Big Pecks""","""Protects the Pokémon from Defense-lowering effects.""",50.0,50.0,70,"""Red""","""Kanto""",83,80,75,70,70,101,479,0,0,0,0,0,3,3,45,"""Medium Slow""",1059860,216,"""Flying""",,15,77.0,"""Level 36""",18,Normal,Flying,479,83,80,75,70,70,101,1,False
18,80,19,Rattata,"""Mouse Pokemon""",0.3,3.5,"""Normal""",,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",50.0,50.0,70,"""Red""","""Kanto""",30,56,35,25,35,72,253,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,51,"""Field""",,15,,,19,Normal,,253,30,56,35,25,35,72,1,False
19,82,20,Raticate,"""Mouse Pokemon""",0.7,18.5,"""Normal""",,"""Run Away""","""Enables a sure getaway from wild Pokémon.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",50.0,50.0,70,"""Red""","""Kanto""",55,81,60,50,70,97,413,0,0,0,0,0,2,2,127,"""Medium Fast""",1000000,145,"""Field""",,15,80.0,"""Level 20""",20,Normal,,413,55,81,60,50,70,97,1,False
20,84,21,Spearow,"""Tiny Bird Pokemon""",0.3,2.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",,,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",50.0,50.0,70,"""Red""","""Kanto""",40,60,30,31,31,70,262,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,52,"""Flying""",,15,,,21,Normal,Flying,262,40,60,30,31,31,70,1,False
21,85,22,Fearow,"""Beak Pokemon""",1.2,38.0,"""Normal""","""Flying""","""Keen Eye""","""Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.""",,,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",50.0,50.0,70,"""Red""","""Kanto""",65,90,65,61,61,100,442,0,0,0,0,0,2,2,90,"""Medium Fast""",1000000,155,"""Flying""",,15,84.0,"""Level 20""",22,Normal,Flying,442,65,90,65,61,61,100,1,False
22,86,23,Ekans,"""Snake Pokemon""",2.0,6.9,"""Poison""",,"""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",50.0,50.0,70,"""Red""","""Kanto""",35,60,44,40,54,55,288,0,1,0,0,0,0,1,255,"""Medium Fast""",1000000,58,"""Field""","""Dragon""",20,,,23,Poison,,288,35,60,44,40,54,55,1,False
23,87,24,Arbok,"""Cobra Pokemon""",3.5,65.0,"""Poison""",,"""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",50.0,50.0,70,"""Red""","""Kanto""",60,95,69,65,79,80,448,0,2,0,0,0,0,2,90,"""Medium Fast""",1000000,157,"""Field""","""Dragon""",20,86.0,"""Level 22""",24,Poison,,438,60,85,69,65,79,80,1,False
24,89,25,Pikachu,"""Mouse Pokemon""",0.4,6.0,"""Electric""",,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",,,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",50.0,50.0,70,"""Red""","""Kanto""",35,55,40,50,50,90,320,0,0,0,0,0,2,2,190,"""Medium Fast""",1000000,112,"""Field""","""Fairy""",10,88.0,,25,Electric,,320,35,55,40,50,50,90,1,False
25,90,26,Raichu,"""Mouse Pokemon""",0.8,30.0,"""Electric""",,"""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""",,,"""Lightning Rod""","""The Pokémon draws in all Electric-type moves. Instead of being hit by Electric-type moves, it boosts its Sp. Atk.""",50.0,50.0,70,"""Red""","""Kanto""",60,90,55,90,80,110,485,0,0,0,0,0,3,3,75,"""Medium Fast""",1000000,218,"""Field""","""Fairy""",10,89.0,"""Thunder Stone""",26,Electric,,485,60,90,55,90,80,110,1,False
26,92,27,Sandshrew,"""Mouse Pokemon""",0.6,12.0,"""Ground""",,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""",,,"""Sand Rush""","""Boosts the Pokémon's Speed stat in a sandstorm.""",50.0,50.0,70,"""Red""","""Kanto""",50,75,85,20,30,40,300,0,0,1,0,0,0,1,255,"""Medium Fast""",1000000,60,"""Field""",,20,,,27,Ground,,300,50,75,85,20,30,40,1,False
27,94,28,Sandslash,"""Mouse Pokemon""",1.0,29.5,"""Ground""",,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""",,,"""Sand Rush""","""Boosts the Pokémon's Speed stat in a sandstorm.""",50.0,50.0,70,"""Red""","""Kanto""",75,100,110,45,55,65,450,0,0,2,0,0,0,2,90,"""Medium Fast""",1000000,158,"""Field""",,20,92.0,"""Level 22""",28,Ground,,450,75,100,110,45,55,65,1,False
28,17,30,Nidorina,"""Poison Pin Pokemon""",0.8,20.0,"""Poison""",,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",0.0,100.0,70,"""Red""","""Kanto""",70,62,67,55,55,56,365,2,0,0,0,0,0,2,120,"""Medium Slow""",1059860,128,"""Undiscovered""",,20,33.0,"""Level 16""",30,Poison,,365,70,62,67,55,55,56,1,False
29,18,31,Nidoqueen,"""Drill Pokemon""",1.3,60.0,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",0.0,100.0,70,"""Red""","""Kanto""",90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,"""Medium Slow""",1059860,227,"""Undiscovered""",,20,17.0,"""Moon Stone""",31,Poison,Ground,505,90,92,87,75,85,76,1,False
30,49,33,Nidorino,"""Poison Pin Pokemon""",0.9,19.5,"""Poison""",,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",100.0,0.0,70,"""Red""","""Kanto""",61,72,57,55,55,65,365,0,2,0,0,0,0,2,120,"""Medium Slow""",1059860,128,"""Monster""","""Field""",20,48.0,"""Level 16""",33,Poison,,365,61,72,57,55,55,65,1,False
31,50,34,Nidoking,"""Drill Pokemon""",1.4,62.0,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",100.0,0.0,70,"""Red""","""Kanto""",81,102,77,85,75,85,505,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,227,"""Monster""","""Field""",20,49.0,"""Moon Stone""",34,Poison,Ground,505,81,102,77,85,75,85,1,False
32,52,35,Clefairy,"""Fairy Pokemon""",0.6,7.5,"""Fairy""",,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Friend Guard""","""Reduces damage done to allies.""",25.0,75.0,140,"""Red""","""Kanto""",70,45,48,60,65,35,323,2,0,0,0,0,0,2,150,"""Fast""",800000,113,"""Fairy""",,20,51.0,,35,Fairy,,323,70,45,48,60,65,35,1,False
33,53,36,Clefable,"""Fairy Pokemon""",1.3,40.0,"""Fairy""",,"""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Magic Guard""","""The Pokémon only takes damage from attacks.""","""Unaware""","""When attacking, the Pokémon ignores the target Pokémon's stat changes.""",25.0,75.0,140,"""Red""","""Kanto""",95,70,73,95,90,60,483,3,0,0,0,0,0,3,25,"""Fast""",800000,217,"""Fairy""",,10,52.0,"""Moon Stone""",36,Fairy,,483,95,70,73,95,90,60,1,False
34,54,37,Vulpix,"""Fox Pokemon""",0.6,9.9,"""Fire""",,"""Flash Fire""","""Powers up the Pokémon's Fire-type moves if it's hit by one.""",,,"""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",25.0,75.0,70,"""Red""","""Kanto""",38,41,40,50,65,65,299,0,0,0,0,0,1,1,190,"""Medium Fast""",1000000,60,"""Field""",,20,,,37,Fire,,299,38,41,40,50,65,65,1,False
35,56,38,Ninetales,"""Fox Pokemon""",1.1,19.9,"""Fire""",,"""Flash Fire""","""Powers up the Pokémon's Fire-type moves if it's hit by one.""",,,"""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",25.0,75.0,70,"""Red""","""Kanto""",73,76,75,81,100,100,505,0,0,0,0,1,1,2,75,"""Medium Fast""",1000000,177,"""Field""",,20,54.0,"""Fire Stone""",38,Fire,,505,73,76,75,81,100,100,1,False
36,59,39,Jigglypuff,"""Balloon Pokemon""",0.5,5.5,"""Normal""","""Fairy""","""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Competitive""","""Boosts the Sp. Atk stat sharply when a stat is lowered.""","""Friend Guard""","""Reduces damage done to allies.""",25.0,75.0,70,"""Red""","""Kanto""",115,45,20,45,25,20,270,2,0,0,0,0,0,2,170,"""Fast""",800000,95,"""Fairy""",,10,58.0,,39,Normal,Fairy,270,115,45,20,45,25,20,1,False
37,60,40,Wigglytuff,"""Balloon Pokemon""",1.0,12.0,"""Normal""","""Fairy""","""Cute Charm""","""Contact with the Pokémon may cause infatuation.""","""Competitive""","""Boosts the Sp. Atk stat sharply when a stat is lowered.""","""Frisk""","""When it enters a battle, the Pokémon can check an opposing Pokémon's held item.""",25.0,75.0,70,"""Red""","""Kanto""",140,70,45,85,50,45,435,3,0,0,0,0,0,3,50,"""Fast""",800000,196,"""Fairy""",,10,59.0,"""Moon Stone""",40,Normal,Fairy,435,140,70,45,85,50,45,1,False
38,61,41,Zubat,"""Bat Pokemon""",0.8,7.5,"""Poison""","""Flying""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",,,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50.0,50.0,70,"""Red""","""Kanto""",40,45,35,30,40,55,245,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,49,"""Flying""",,15,,,41,Poison,Flying,245,40,45,35,30,40,55,1,False
39,62,42,Golbat,"""Bat Pokemon""",1.6,55.0,"""Poison""","""Flying""","""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",,,"""Infiltrator""","""Passes through the opposing Pokémon's barrier, substitute, and the like and strikes.""",50.0,50.0,70,"""Red""","""Kanto""",75,80,70,65,75,95,460,0,0,0,0,0,2,2,90,"""Medium Fast""",1000000,159,"""Flying""",,15,61.0,"""Level 22""",42,Poison,Flying,455,75,80,70,65,75,90,1,False
40,64,43,Oddish,"""Weed Pokemon""",0.5,5.4,"""Grass""","""Poison""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,,,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",50.0,50.0,70,"""Red""","""Kanto""",45,50,55,75,65,30,320,0,0,0,1,0,0,1,255,"""Medium Slow""",1059860,64,"""Grass""",,20,,,43,Grass,Poison,320,45,50,55,75,65,30,1,False
41,65,44,Gloom,"""Weed Pokemon""",0.8,8.6,"""Grass""","""Poison""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,,,"""Stench""","""By releasing stench when attacking, this Pokémon may cause the target to flinch.""",50.0,50.0,70,"""Red""","""Kanto""",60,65,70,85,75,40,395,0,0,0,2,0,0,2,120,"""Medium Slow""",1059860,138,"""Grass""",,20,64.0,"""Level 21""",44,Grass,Poison,395,60,65,70,85,75,40,1,False
42,66,45,Vileplume,"""Flower Pokemon""",1.2,18.6,"""Grass""","""Poison""","""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,,,"""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""",50.0,50.0,70,"""Red""","""Kanto""",75,80,85,110,90,50,490,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,221,"""Grass""",,20,65.0,"""Leaf Stone""",45,Grass,Poison,490,75,80,85,110,90,50,1,False
43,68,46,Paras,"""Mushroom Pokemon""",0.3,5.4,"""Bug""","""Grass""","""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""","""Dry Skin""","""Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""",50.0,50.0,70,"""Red""","""Kanto""",35,70,55,45,55,25,285,0,1,0,0,0,0,1,190,"""Medium Fast""",1000000,57,"""Bug""","""Grass""",20,,,46,Bug,Grass,285,35,70,55,45,55,25,1,False
44,69,47,Parasect,"""Mushroom Pokemon""",1.0,29.5,"""Bug""","""Grass""","""Effect Spore""","""Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.""","""Dry Skin""","""Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.""","""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""",50.0,50.0,70,"""Red""","""Kanto""",60,95,80,60,80,30,405,0,2,1,0,0,0,3,75,"""Medium Fast""",1000000,142,"""Bug""","""Grass""",20,68.0,"""Level 24""",47,Bug,Grass,405,60,95,80,60,80,30,1,False
45,70,48,Venonat,"""Insect Pokemon""",1.0,30.0,"""Bug""","""Poison""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""","""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""","""Run Away""","""Enables a sure getaway from wild Pokémon.""",50.0,50.0,70,"""Red""","""Kanto""",60,55,50,40,55,45,305,0,0,0,0,1,0,1,190,"""Medium Fast""",1000000,61,"""Bug""",,20,,,48,Bug,Poison,305,60,55,50,40,55,45,1,False
46,71,49,Venomoth,"""Poison Moth Pokemon""",1.5,12.5,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""","""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""","""Wonder Skin""","""Makes status moves more likely to miss.""",50.0,50.0,70,"""Red""","""Kanto""",70,65,60,90,75,90,450,0,0,0,1,0,1,2,75,"""Medium Fast""",1000000,158,"""Bug""",,20,70.0,"""Level 31""",49,Bug,Poison,450,70,65,60,90,75,90,1,False
47,72,50,Diglett,"""Mole Pokemon""",0.2,0.8,"""Ground""",,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Arena Trap""","""Prevents opposing Pokémon from fleeing.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50.0,50.0,70,"""Red""","""Kanto""",10,55,25,35,45,95,265,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,53,"""Field""",,20,,,50,Ground,,265,10,55,25,35,45,95,1,False
48,73,51,Dugtrio,"""Mole Pokemon""",0.7,33.3,"""Ground""",,"""Sand Veil""","""Boosts the Pokémon's evasiveness in a sandstorm.""","""Arena Trap""","""Prevents opposing Pokémon from fleeing.""","""Sand Force""","""Boosts the power of Rock-, Ground-, and Steel-type moves in a sandstorm.""",50.0,50.0,70,"""Red""","""Kanto""",35,100,50,50,70,120,425,0,0,0,0,0,2,2,50,"""Medium Fast""",1000000,149,"""Field""",,20,72.0,"""Level 26""",51,Ground,,405,35,80,50,50,70,120,1,False
49,96,52,Meowth,"""Scratch Cat Pokemon""",0.4,4.2,"""Normal""",,"""Pickup""","""The Pokémon may pick up the item an opposing Pokémon used during a battle. It may pick up items outside of battle, too.""","""Technician""","""Powers up the Pokémon's weaker moves.""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",50.0,50.0,70,"""Red""","""Kanto""",40,45,35,40,40,90,290,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,58,"""Field""",,20,,,52,Normal,,290,40,45,35,40,40,90,1,False
50,100,53,Persian,"""Classy Cat Pokemon""",1.0,32.0,"""Normal""",,"""Limber""","""Its limber body protects the Pokémon from paralysis.""","""Technician""","""Powers up the Pokémon's weaker moves.""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",50.0,50.0,70,"""Red""","""Kanto""",65,70,60,65,65,115,440,0,0,0,0,0,2,2,90,"""Medium Fast""",1000000,154,"""Field""",,20,96.0,"""Level 28""",53,Normal,,440,65,70,60,65,65,115,1,False
51,102,54,Psyduck,"""Duck Pokemon""",0.8,19.6,"""Water""",,"""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""","""Cloud Nine""","""Eliminates the effects of weather.""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""",50.0,50.0,70,"""Red""","""Kanto""",50,52,48,65,50,55,320,0,0,0,1,0,0,1,190,"""Medium Fast""",1000000,64,"""Water 1""","""Field""",20,,,54,Water,,320,50,52,48,65,50,55,1,False
52,884,55,Golduck,"""Duck Pokemon""",1.7,76.6,"""Water""",,"""Damp""","""Prevents the use of explosive moves, such as Self-Destruct, by dampening its surroundings.""","""Cloud Nine""","""Eliminates the effects of weather.""","""Swift Swim""","""Boosts the Pokémon's Speed stat in rain.""",50.0,50.0,70,"""Red""","""Kanto""",80,82,78,95,80,85,500,0,0,0,2,0,0,2,75,"""Medium Fast""",1000000,175,"""Water 1""","""Field""",20,102.0,"""Level 33""",55,Water,,500,80,82,78,95,80,85,1,False
